,GO_LEUKOCYTE_DIFFERENTIATION,GO_IMMUNE_RESPONSE,GO_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING,GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER
0,TBX21,HLA-B,TRIP6,VAX2
1,CTNNB1,TNFRSF11A,HTR2B,ELP4
2,NOTCH2,C1S,MALT1,ACTL6B
3,CD79B,MBL2,CTNNB1,CDK5RAP3
4,PTK2B,TREM2,BTRC,MAGED1
5,SBNO2,IFNE,SLC20A1,ETV3L
6,FOXN1,CFHR1,FYN,SMARCAL1
7,GATA2,TNFSF9,IL1A,DSG4
8,FOXP1,PTK2,LPAR1,RAD21
9,VAV1,HLA-DQB2,IKBKE,GPC3
10,EGR1,ATP6V0A2,IL1RL1,KIAA1958
11,TREM2,CAMK2G,PRKD1,HOXB3
12,BLNK,LAMP3,EDA2R,ESRRA
13,ITK,CLEC7A,PER1,GTF2IRD1
14,AIRE,FCGRT,CXXC5,MEF2B
15,MERTK,KDM6B,TRIM62,DLL4
16,IL25,ANG,NOD1,MED27
17,DHRS2,PTK2B,MIB2,NEUROG3
18,TYRO3,CHGA,,CHD6
19,,S100A12,,ABRA
20,,TLR4,,PLK3
21,,SBNO2,,IFI16
22,,IL1A,,CBFA2T2
23,,FOXP1,,TEF
24,,TNFRSF10A,,BRWD1
25,,ADAR,,ATF6B
26,,JAM3,,UTF1
27,,IL1RL1,,IL23A
28,,ARHGEF2,,MAPK7
29,,MEFV,,GDF3
30,,NLRC5,,SATB1
31,,COLEC12,,TMEM100
32,,RNF125,,HSF2
33,,TRIM28,,IGHMBP2
34,,HLA-DOB,,ADRB2
35,,SMAD6,,MEGF8
36,,TINAG,,SMARCA5
37,,IL36G,,GLI2
38,,TEC,,CXXC5
39,,IL18RAP,,BCL11A
40,,CTLA4,,TIMELESS
41,,CD27,,NLRC5
42,,CCR7,,ATF5
43,,GBP6,,SUPT6H
44,,CFI,,ERG
45,,LEF1,,TRIM28
46,,LCP2,,CTR9
47,,TNFRSF10B,,FBXW7
48,,NCR3,,SMAD6
49,,FRK,,E4F1
50,,NOTCH2,,CREB3L3
51,,C1QC,,MKL1
52,,SH2D6,,NR1H3
53,,GATA2,,NCL
54,,MNX1,,ELF4
55,,VNN1,,T
56,,CTSG,,TDG
57,,C5,,E2F7
58,,LAT,,BLZF1
59,,KLRF2,,RREB1
60,,FES,,TBX22
61,,IRAK1,,ESR2
62,,,,PPARGC1A
63,,,,CCND1
64,,,,MNX1
65,,,,DMRT1
66,,,,INHBA
67,,,,NFIC
68,,,,TAF3
69,,,,PRKD1
70,,,,WNT10B
71,,,,PAX5
72,,,,HNF1A
73,,,,EPC2
74,,,,CHEK1
75,,,,POU2F3
76,,,,SPIB
77,,,,LMNA
