pathway,train_roc_auc_score,validation_roc_auc_score,train_gradient_boosting_roc_auc_score,validation_gradient_boosting_roc_auc_score
GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION,0.716751788,0.519496855,0.680490296,0.565408805
GO_CARDIAC_CHAMBER_DEVELOPMENT,0.880286006,0.528301887,0.945556691,0.498113208
GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,0.683043922,0.577987421,0.680796731,0.590566038
GO_CIRCADIAN_RHYTHM,0.818181818,0.693710692,0.887742594,0.693710692
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING,0.61092952,0.444654088,0.617671093,0.444654088
GO_SPINAL_CORD_DEVELOPMENT,0.862206333,0.637106918,0.916547497,0.700628931
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,0.767926456,0.448427673,0.764657814,0.472327044
GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS,0.553217569,0.397484277,0.55607763,0.410062893
GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,0.610214505,0.633962264,0.602042901,0.635220126
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,0.771603677,0.562264151,0.781307457,0.619496855
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY,0.908682329,0.645283019,0.970275792,0.563522013
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS,0.73319714,0.533333333,0.759141982,0.589308176
GO_POTASSIUM_ION_TRANSPORT,0.922165475,0.628930818,0.953421859,0.562264151
GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.744024515,0.567924528,0.775178754,0.533333333
GO_CARDIAC_MUSCLE_ADAPTATION,0.548927477,0.50754717,0.548927477,0.50754717
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,0.85648621,0.652830189,0.90102145,0.602515723
GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.840551583,0.536477987,0.849131767,0.522641509
GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION,0.835852911,0.636477987,0.856384065,0.683018868
GO_APICAL_PROTEIN_LOCALIZATION,0.692645557,0.628930818,0.669765066,0.564779874
GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY,0.795914198,0.413836478,0.834627171,0.396226415
GO_FOREBRAIN_NEURON_DEVELOPMENT,0.818896834,0.69245283,0.824412666,0.675471698
GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION,0.72165475,0.598742138,0.713483146,0.558490566
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT,0.826864147,0.51509434,0.830949949,0.453459119
GO_MITOTIC_CYTOKINESIS,0.731971399,0.532704403,0.709295199,0.527672956
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.652911134,0.504402516,0.647191011,0.532075472
GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION,0.776404494,0.601886792,0.821041879,0.605031447
GO_CYTOPLASMIC_TRANSLATION,0.6113381,0.583647799,0.6113381,0.562893082
GO_MEIOTIC_CHROMOSOME_SEGREGATION,0.772114402,0.578616352,0.798876404,0.593081761
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,0.84351379,0.505660377,0.890500511,0.474842767
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,0.731052094,0.568553459,0.748314607,0.593710692
GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS,0.723186925,0.518867925,0.720224719,0.454716981
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.702349336,0.531446541,0.690091931,0.494968553
GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,0.798672114,0.620125786,0.870275792,0.520754717
GO_DENDRITE_DEVELOPMENT,0.882226762,0.603144654,0.927477017,0.53836478
GO_REGULATION_OF_RESPIRATORY_BURST,0.588559755,0.5,0.588559755,0.435849057
GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION,0.670173647,0.580503145,0.662614913,0.581761006
GO_MEMORY,0.866496425,0.556603774,0.907967314,0.568553459
GO_NEURON_DEVELOPMENT,0.936261491,0.6,0.986108274,0.572955975
GO_REGULATION_OF_GOLGI_ORGANIZATION,0.62185904,0.506918239,0.62226762,0.485534591
GO_ENDOTHELIAL_CELL_DEVELOPMENT,0.771399387,0.685534591,0.784678243,0.557232704
GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION,0.682737487,0.522012579,0.694279877,0.513207547
GO_REGULATION_OF_CELL_ACTIVATION,0.878855975,0.718238994,0.959346272,0.694968553
GO_MULTICELLULAR_ORGANISM_AGING,0.763023493,0.64591195,0.767926456,0.6
GO_ATP_DEPENDENT_CHROMATIN_REMODELING,0.775893769,0.555345912,0.781409602,0.581761006
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.915423902,0.528301887,0.98988764,0.460377358
GO_ION_TRANSPORT,0.920429009,0.597484277,0.982124617,0.626415094
GO_LIPID_MODIFICATION,0.855362615,0.60754717,0.929315628,0.624528302
GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT,0.671399387,0.503773585,0.671399387,0.530188679
GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION,0.646067416,0.629559748,0.622574055,0.58427673
GO_ACYLGLYCEROL_HOMEOSTASIS,0.718079673,0.605660377,0.707252298,0.493710692
GO_NEGATIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY,0.664555669,0.528930818,0.664351379,0.471069182
GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_ASSEMBLY,0.825944842,0.613207547,0.849233912,0.655974843
GO_HEMOGLOBIN_METABOLIC_PROCESS,0.57691522,0.462264151,0.573850868,0.419496855
GO_SINGLE_FERTILIZATION,0.879468846,0.540251572,0.931460674,0.332075472
GO_LEUKOCYTE_ACTIVATION,0.898059244,0.646540881,0.962308478,0.529559748
GO_CHROMOSOME_ORGANIZATION,0.886210419,0.623899371,0.974872319,0.554716981
GO_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION,0.67773238,0.659748428,0.675893769,0.642138365
GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,0.73421859,0.611320755,0.785597549,0.655974843
GO_SYNAPTIC_VESICLE_LOCALIZATION,0.806026558,0.635220126,0.85546476,0.57672956
GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.820020429,0.503773585,0.854239019,0.53081761
GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.808171604,0.442138365,0.835546476,0.394339623
GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION,0.704494382,0.411320755,0.718998979,0.396226415
GO_METANEPHRIC_NEPHRON_MORPHOGENESIS,0.730337079,0.475471698,0.707048008,0.501257862
GO_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS,0.5453524,0.574842767,0.5453524,0.574842767
GO_RESPONSE_TO_UV_C,0.590909091,0.471069182,0.590500511,0.494339623
GO_CARBOHYDRATE_CATABOLIC_PROCESS,0.844024515,0.580503145,0.864453524,0.47672956
GO_DENTATE_GYRUS_DEVELOPMENT,0.652298264,0.637735849,0.659856997,0.579874214
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT,0.686312564,0.433962264,0.685903984,0.427672956
GO_LABYRINTHINE_LAYER_DEVELOPMENT,0.734525026,0.595597484,0.767722165,0.537106918
GO_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION,0.607252298,0.53836478,0.606843718,0.53836478
GO_NEUROLOGICAL_SYSTEM_PROCESS,0.907456588,0.637735849,0.97752809,0.594968553
GO_NEURONAL_STEM_CELL_DIVISION,0.668641471,0.528930818,0.668641471,0.471069182
GO_CERAMIDE_CATABOLIC_PROCESS,0.562206333,0.588050314,0.562410623,0.589308176
GO_EXCRETION,0.801634321,0.488679245,0.802042901,0.455345912
GO_DIGESTION,0.840449438,0.549056604,0.888968335,0.508176101
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,0.747497446,0.530188679,0.77691522,0.549685535
GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,0.742390194,0.527044025,0.76721144,0.413836478
GO_HINDBRAIN_DEVELOPMENT,0.863329928,0.709433962,0.898263534,0.657861635
GO_OLIGOSACCHARIDE_METABOLIC_PROCESS,0.82288049,0.557232704,0.811644535,0.528301887
GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT,0.633912155,0.519496855,0.629009193,0.513207547
GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST,0.608784474,0.531446541,0.627170582,0.486163522
GO_CHROMOSOME_SEGREGATION,0.86659857,0.640880503,0.919305414,0.516352201
GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,0.651481103,0.425786164,0.649233912,0.44591195
GO_ETHER_METABOLIC_PROCESS,0.532175689,0.550943396,0.53299285,0.51572327
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,0.837793667,0.618867925,0.898672114,0.460377358
GO_CYTOKINE_METABOLIC_PROCESS,0.674157303,0.537735849,0.672931563,0.530188679
GO_ANTEROGRADE_AXONAL_TRANSPORT,0.708682329,0.645283019,0.706026558,0.594968553
GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE,0.778447395,0.578616352,0.752706844,0.559119497
GO_STEROID_BIOSYNTHETIC_PROCESS,0.802553626,0.59245283,0.853626149,0.571069182
GO_ALDITOL_PHOSPHATE_METABOLIC_PROCESS,0.694688458,0.589308176,0.725536261,0.611320755
GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT,0.830439224,0.501257862,0.778447395,0.50754717
GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.779468846,0.666037736,0.783350358,0.537735849
GO_REGULATION_OF_INTERFERON_BETA_PRODUCTION,0.781409602,0.514465409,0.790194076,0.438993711
GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,0.78825332,0.474213836,0.813789581,0.532704403
GO_N_GLYCAN_PROCESSING,0.719101124,0.641509434,0.718181818,0.625157233
GO_INORGANIC_ION_IMPORT_INTO_CELL,0.671501532,0.539622642,0.664147089,0.539622642
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT,0.646169561,0.567924528,0.652911134,0.567924528
GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,0.771399387,0.443396226,0.787231869,0.446540881
GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY,0.676404494,0.51572327,0.658324821,0.441509434
GO_MEMBRANE_DEPOLARIZATION,0.879877426,0.594968553,0.891317671,0.56918239
GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION,0.790704801,0.640251572,0.769458631,0.427672956
GO_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,0.774361593,0.618238994,0.771195097,0.564150943
GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,0.660980592,0.651572327,0.645658836,0.597484277
GO_REGULATION_OF_LYASE_ACTIVITY,0.823697651,0.616352201,0.858733401,0.583647799
GO_RESPONSE_TO_NITROGEN_COMPOUND,0.887231869,0.582389937,0.968743616,0.579245283
GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,0.820939734,0.625786164,0.855771195,0.59245283
GO_REGULATION_OF_DNA_RECOMBINATION,0.777425945,0.524528302,0.785903984,0.458490566
GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION,0.827068437,0.66918239,0.873442288,0.786163522
GO_RESPONSE_TO_ETHANOL,0.827579162,0.546540881,0.880898876,0.46163522
