,pathway,train_gradient_boosting_roc_auc_score,validation_gradient_boosting_roc_auc_score
0,GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION,0.6804902962206333,0.5654088050314465
1,GO_CARDIAC_CHAMBER_DEVELOPMENT,0.9455566905005107,0.4981132075471698
2,GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,0.680796731358529,0.590566037735849
3,GO_CIRCADIAN_RHYTHM,0.8877425944841676,0.6937106918238994
4,GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING,0.6176710929519919,0.4446540880503145
5,GO_SPINAL_CORD_DEVELOPMENT,0.9165474974463738,0.70062893081761
6,GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,0.7646578140960163,0.47232704402515724
7,GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS,0.5560776302349336,0.410062893081761
8,GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,0.6020429009193055,0.6352201257861635
9,GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,0.7813074565883554,0.6194968553459119
10,GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY,0.9702757916241062,0.5635220125786164
11,GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS,0.7591419816138917,0.589308176100629
12,GO_POTASSIUM_ION_TRANSPORT,0.9534218590398366,0.5622641509433962
13,GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.7751787538304393,0.5333333333333333
14,GO_CARDIAC_MUSCLE_ADAPTATION,0.5489274770173647,0.5075471698113208
15,GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,0.9010214504596528,0.6025157232704402
16,GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.8491317671092952,0.5226415094339623
17,GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION,0.8563840653728293,0.6830188679245283
18,GO_APICAL_PROTEIN_LOCALIZATION,0.6697650663942799,0.5647798742138365
19,GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY,0.8346271705822268,0.39622641509433965
