,pathway,c_index,roc_auc_score
0,GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION,0.5312955583633006,0.5417773237997957
1,GO_CARDIAC_CHAMBER_DEVELOPMENT,0.5424239479055302,0.6000000000000001
2,GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,0.5234230731849548,0.5344228804902962
3,GO_CIRCADIAN_RHYTHM,0.5653610652152784,0.6199182839632278
4,GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING,0.551268344834289,0.570582226762002
5,GO_SPINAL_CORD_DEVELOPMENT,0.534600058314705,0.5743615934627171
6,GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,0.5094761395665274,0.563023493360572
7,GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS,0.5039362425891729,0.5225740551583248
8,GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,0.5257070657984255,0.5510725229826354
9,GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,0.5064632131402469,0.5446373850868234
10,GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY,0.5579745359121392,0.5901940755873339
11,GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS,0.5352803965399942,0.5895812053115423
12,GO_POTASSIUM_ION_TRANSPORT,0.561230440276023,0.6068437180796732
13,GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.536009330352804,0.5767109295199182
14,GO_CARDIAC_MUSCLE_ADAPTATION,0.5178345806200797,0.4943820224719101
15,GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,0.5661385946156089,0.6087844739530134
16,GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.5207017202837982,0.5478038815117467
17,GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION,0.5635630284770143,0.6041879468845761
