,GO_pathways,auc_liu_GO_FS_response,auc_riaz_GO_FS_response,auc_liu_GO_FS_resistance,auc_riaz_GO_FS_resistance,auc_liu_GO_FS_response_randomized,auc_riaz_GO_FS_response_randomized,auc_liu_GO_FS_resistance_randomized,auc_riaz_GO_FS_resistance_randomized
0,GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION,0.5908069458631257,0.519496855345912,0.4606741573033708,0.4716981132075472,0.5866189989785495,0.549685534591195,0.4645556690500511,0.5044025157232704
1,GO_CARDIAC_CHAMBER_DEVELOPMENT,0.7599591419816139,0.5459119496855346,0.4048008171603677,0.5735849056603773,0.7297242083758938,0.529559748427673,0.43156281920326867,0.590566037735849
2,GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,0.5791624106230847,0.5754716981132075,0.4713993871297242,0.5050314465408805,0.5573033707865168,0.5981132075471698,0.5002042900919306,0.49559748427672956
3,GO_CIRCADIAN_RHYTHM,0.7338100102145046,0.6150943396226415,0.4192032686414709,0.5452830188679245,0.6882533197139937,0.6264150943396226,0.43003064351378956,0.5333333333333333
4,GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING,0.5731358529111338,0.510062893081761,0.5208375893769153,0.49056603773584906,0.5731358529111338,0.510062893081761,0.5251276813074566,0.5144654088050314
5,GO_SPINAL_CORD_DEVELOPMENT,0.7165474974463739,0.6364779874213837,0.4166496424923391,0.49559748427672956,0.6735444330949949,0.6075471698113207,0.44014300306435133,0.5006289308176101
6,GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,0.6518896833503575,0.5270440251572327,0.45066394279877425,0.5742138364779874,0.6398365679264556,0.5094339622641509,0.45066394279877425,0.5742138364779874
7,GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS,0.5305413687436159,0.46226415094339623,0.49785495403472924,0.5333333333333333,0.5305413687436159,0.46226415094339623,0.5048008171603676,0.6
8,GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,0.557711950970378,0.6471698113207547,0.4887640449438202,0.49056603773584906,0.557711950970378,0.6471698113207547,0.4887640449438202,0.49056603773584906
9,GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,0.6355464759959142,0.6037735849056605,0.43718079673135857,0.469811320754717,0.6272727272727272,0.5477987421383648,0.44974463738508685,0.5006289308176101
